
Topologia	n	Dijkstra (s)	Duan (s)	Bellman-Ford (s)	Custo ótimo
Barabási	500	0,001279	0,002341	0,001693	30.248
Barabási	1000	0,006408	0,007952	0,007477	60.744
Barabási	2000	0,016179	0,033988	0,026594	130.620
Barabási	5000	0,067814	0,127292	0,135978	342.700
Barabási	10000	0,394667	0,644350	0,745415	675.864
Erdős-Rényi	500	0,001177	0,002614	0,001946	69.309
Erdős-Rényi	1000	0,003055	0,006574	0,005881	69.094
Erdős-Rényi	2000	0,014512	0,051355	0,040430	89.134
Erdős-Rényi	5000	0,096778	0,224594	0,190044	107.941
Erdős-Rényi	10000	0,458587	0,758566	0,806532	135.902
Watts-Strogatz	500	0,001317	0,004647	0,002339	107.666
Watts-Strogatz	1000	0,002680	0,007420	0,006947	279.416
Watts-Strogatz	2000	0,011516	0,049290	0,036171	578.864
Watts-Strogatz	5000	0,082359	0,252910	0,258871	1.676.068
Watts-Strogatz	10000	0,279135	1,149060	1,013587	4.499.463



Transição	Fator em n	Dijkstra	Duan	Bellman-Ford
500 → 1000	×2,0	×3,09	×2,58	×3,20
1000 → 2000	×2,0	×3,17	×4,91	×4,35
2000 → 5000	×2,5	×5,76	×5,63	×7,28
5000 → 10000	×2,0	×4,31	×5,34	×4,43


Topologia	n	Dijkstra	Duan	Bellman-Ford
Barabási	500	1,00	1,83	1,32
Barabási	1000	1,00	1,24	1,17
Barabási	2000	1,00	2,10	1,64
Barabási	5000	1,00	1,88	2,01
Barabási	10000	1,00	1,63	1,89
Erdős-Rényi	500	1,00	2,22	1,65
Erdős-Rényi	1000	1,00	2,15	1,93
Erdős-Rényi	2000	1,00	3,54	2,79
Erdős-Rényi	5000	1,00	2,32	1,96
Erdős-Rényi	10000	1,00	1,65	1,76
Watts-Strogatz	500	1,00	3,53	1,78
Watts-Strogatz	1000	1,00	2,77	2,59
Watts-Strogatz	2000	1,00	4,28	3,14
Watts-Strogatz	5000	1,00	3,07	3,14
Watts-Strogatz	10000	1,00	4,12	3,63
