1000 2991
0 1 1
0 2 47
0 3 76
0 4 34
0 5 85
0 6 34
0 7 94
0 23 46
0 25 13
0 26 71
0 27 19
0 32 17
0 34 79
0 47 96
0 51 96
0 52 57
0 56 92
0 61 83
0 65 3
0 71 3
0 75 22
0 81 27
0 86 29
0 88 54
0 91 74
0 94 49
0 112 14
0 116 36
0 119 59
0 122 17
0 129 81
0 133 68
0 142 20
0 162 19
0 163 8
0 179 66
0 187 17
0 207 76
0 215 14
0 227 26
0 239 84
0 252 50
0 253 48
0 259 64
0 285 25
0 291 37
0 292 72
0 300 75
0 308 65
0 310 50
0 318 80
0 323 76
0 326 76
0 328 14
0 340 24
0 345 10
0 359 8
0 362 26
0 363 48
0 370 26
0 379 62
0 391 60
0 400 40
0 415 80
0 438 93
0 439 100
0 448 90
0 456 90
0 458 58
0 479 87
0 482 78
0 505 65
0 510 44
0 515 54
0 522 93
0 537 49
0 553 43
0 554 40
0 556 66
0 566 83
0 596 81
0 601 76
0 605 90
0 619 56
0 630 100
0 638 21
0 652 100
0 656 67
0 670 78
0 691 77
0 697 90
0 735 49
0 759 10
0 763 64
0 778 9
0 779 81
0 781 69
0 788 50
0 834 3
0 840 80
0 877 6
0 882 15
0 914 53
0 920 95
0 926 6
0 948 63
0 952 60
0 964 16
1 6 27
1 11 66
1 12 100
1 14 56
1 17 75
1 22 63
1 30 84
1 31 70
1 35 74
1 54 74
1 56 8
1 58 83
1 99 88
1 140 63
1 172 37
1 174 20
1 179 40
1 189 20
1 191 68
1 200 38
1 211 37
1 244 2
1 267 66
1 287 58
1 317 71
1 329 16
1 381 79
1 397 97
1 445 98
1 475 52
1 518 73
1 542 86
1 558 78
1 606 67
1 612 71
1 628 70
1 648 20
1 655 55
1 658 31
1 775 12
1 797 17
1 812 69
1 818 88
1 844 9
1 870 10
1 889 49
1 923 57
1 926 60
1 994 69
2 4 31
2 8 19
2 12 36
2 13 69
2 20 2
2 22 31
2 25 33
2 29 21
2 34 66
2 47 59
2 52 90
2 63 84
2 64 48
2 68 12
2 71 86
2 81 73
2 82 48
2 97 76
2 100 15
2 104 24
2 108 47
2 113 13
2 128 13
2 154 23
2 164 28
2 177 39
2 185 43
2 196 86
2 222 10
2 312 28
2 315 75
2 336 78
2 347 100
2 348 11
2 354 85
2 378 88
2 401 89
2 406 96
2 411 4
2 446 52
2 459 50
2 461 37
2 469 4
2 470 11
2 500 8
2 507 3
2 523 94
2 555 37
2 565 33
2 577 82
2 612 79
2 614 58
2 618 7
2 645 82
2 690 4
2 696 48
2 698 29
2 716 79
2 728 32
2 729 56
2 738 44
2 748 38
2 791 51
2 803 10
2 859 79
2 865 42
2 894 78
2 939 28
2 967 56
2 973 76
2 983 35
3 4 80
3 5 100
3 8 49
3 9 97
3 17 37
3 21 43
3 22 18
3 28 41
3 49 69
3 50 84
3 58 95
3 62 43
3 73 71
3 86 76
3 91 28
3 110 3
3 117 94
3 148 78
3 160 46
3 185 52
3 188 63
3 217 94
3 225 73
3 240 91
3 245 98
3 268 5
3 278 38
3 283 15
3 308 3
3 314 98
3 317 48
3 328 89
3 380 43
3 389 99
3 468 32
3 506 69
3 545 78
3 567 39
3 589 92
3 607 58
3 622 45
3 652 26
3 661 83
3 666 46
3 722 14
3 733 100
3 742 15
3 767 57
3 777 76
3 832 60
3 835 89
3 848 35
3 920 14
3 938 1
4 5 1
4 7 14
4 9 60
4 10 84
4 11 5
4 12 96
4 13 50
4 14 45
4 17 69
4 26 31
4 29 16
4 39 18
4 42 24
4 44 100
4 45 7
4 48 98
4 51 59
4 53 90
4 67 1
4 80 14
4 87 30
4 88 52
4 89 82
4 92 60
4 98 3
4 112 18
4 117 12
4 123 25
4 132 23
4 144 76
4 159 28
4 167 97
4 168 47
4 172 96
4 198 46
4 210 85
4 213 27
4 218 46
4 224 53
4 228 14
4 246 55
4 247 2
4 265 31
4 272 18
4 276 25
4 301 54
4 305 63
4 313 4
4 347 57
4 355 33
4 358 62
4 392 79
4 402 76
4 404 48
4 436 20
4 437 28
4 442 9
4 452 3
4 474 21
4 478 84
4 480 65
4 491 25
4 501 56
4 518 34
4 533 44
4 534 59
4 535 90
4 550 87
4 609 12
4 666 92
4 709 18
4 766 52
4 786 37
4 800 6
4 802 54
4 807 47
4 838 71
4 856 83
4 895 51
4 909 56
4 916 29
4 931 67
4 940 44
4 961 53
4 980 80
5 6 78
5 7 54
5 9 39
5 10 13
5 19 83
5 36 65
5 48 41
5 51 53
5 68 79
5 74 21
5 95 57
5 98 25
5 126 86
5 127 47
5 130 55
5 166 85
5 192 76
5 213 31
5 241 26
5 266 62
5 279 67
5 314 28
5 334 9
5 393 45
5 394 58
5 395 74
5 397 96
