500 1268
0 3 95
0 215 53
0 261 13
0 403 78
0 488 16
1 69 70
1 117 62
1 141 97
1 206 68
1 254 16
2 79 66
2 80 87
2 193 24
2 456 42
3 186 98
3 263 84
3 266 53
3 282 55
3 383 76
3 458 91
3 484 14
4 38 32
4 350 32
4 437 62
4 465 64
5 109 56
5 140 55
5 209 72
5 296 46
5 315 7
5 361 69
6 65 41
6 113 69
6 129 88
6 159 86
6 300 98
6 394 25
7 189 18
8 19 50
8 83 26
8 88 74
9 26 62
9 91 17
9 111 70
9 114 27
9 151 90
9 154 89
9 215 72
9 355 99
10 79 78
10 243 33
10 302 59
11 82 51
11 140 28
12 23 5
12 75 75
12 88 35
12 101 60
12 319 52
12 336 51
13 77 88
13 226 91
13 276 23
13 312 40
14 99 80
14 289 30
14 430 27
15 90 46
15 140 37
15 199 39
15 253 51
15 255 16
16 25 36
16 58 8
16 134 25
16 232 31
17 79 71
17 83 51
17 112 1
17 159 15
17 424 95
18 37 62
18 63 20
18 115 54
18 212 100
19 99 74
19 115 11
19 243 22
19 274 90
19 398 17
19 435 87
19 474 33
20 104 75
20 109 79
20 192 51
20 269 80
20 374 21
20 466 1
21 28 71
21 44 68
22 245 33
22 345 92
23 194 24
23 233 49
23 373 44
24 60 23
24 158 71
24 268 42
24 303 33
24 416 66
24 431 54
25 217 26
26 208 76
26 408 67
27 98 48
27 193 99
27 290 97
27 341 31
28 101 1
28 198 73
28 426 70
29 68 29
29 80 66
29 109 7
29 133 47
30 44 88
30 173 96
31 57 68
31 213 67
31 256 9
31 267 33
31 464 28
31 490 40
32 206 43
32 207 67
32 231 3
32 445 69
33 67 51
33 95 78
33 452 15
33 472 30
34 37 30
34 411 38
34 420 37
35 36 64
35 119 78
35 176 46
35 250 64
35 287 63
35 290 36
35 299 68
35 393 87
36 115 2
36 302 87
36 329 36
36 353 21
37 160 27
37 161 100
37 316 98
37 354 75
38 154 83
38 166 49
38 395 16
38 417 42
38 484 18
38 492 51
39 189 53
39 202 56
39 205 35
39 220 2
39 226 42
39 341 2
39 382 39
40 135 72
40 170 71
40 250 87
41 176 89
41 279 73
41 327 76
41 354 67
42 110 65
42 118 48
42 229 91
42 309 39
42 473 4
42 488 55
43 264 3
43 422 82
44 350 85
44 412 23
45 56 13
45 100 9
45 239 17
45 441 27
46 367 98
46 460 35
47 135 49
47 146 20
47 220 65
48 114 85
48 153 81
48 188 37
48 264 90
48 291 20
48 293 88
48 370 32
48 382 62
49 198 52
49 265 61
49 449 79
49 482 42
50 183 58
50 295 58
50 360 53
51 62 100
51 170 99
51 196 75
51 283 39
51 334 11
52 175 16
52 205 77
52 261 43
52 324 55
52 363 51
52 383 29
52 479 79
52 489 22
52 499 38
53 365 84
53 396 50
54 77 58
54 115 90
54 283 16
54 339 28
54 455 100
54 456 43
54 473 92
55 193 31
55 277 49
56 145 76
56 160 50
56 246 100
56 282 24
56 307 87
56 317 89
57 63 14
57 67 81
57 85 15
57 116 9
57 232 44
57 237 85
57 242 93
57 293 48
57 328 34
57 375 14
57 403 83
58 133 29
58 286 17
59 122 79
59 123 89
59 341 78
59 401 70
59 408 30
59 483 37
60 433 59
61 408 12
61 431 100
62 65 95
62 269 12
62 340 97
63 94 77
63 177 14
63 222 14
63 261 99
63 315 59
63 333 54
64 129 71
64 142 22
64 356 40
64 462 30
65 131 70
65 427 40
66 124 27
66 145 5
66 160 22
66 194 83
66 217 80
66 227 95
66 262 71
66 355 50
66 472 89
66 492 27
67 271 69
67 429 30
68 96 78
68 216 26
69 222 98
70 221 46
70 364 85
70 399 69
70 413 83
71 267 27
71 309 80
71 341 90
71 440 24
71 495 8
72 76 44
72 140 38
72 156 73
72 174 37
72 208 74
72 272 45
72 326 6
72 460 55
72 493 50
73 114 40
73 156 79
73 377 24
73 433 59
73 478 18
74 102 75
74 160 52
74 286 19
74 305 49
74 451 7
74 484 52
75 294 18
75 344 96
76 139 29
76 262 65
76 263 19
76 335 37
76 451 88
76 463 28
77 115 95
77 121 1
77 198 78
77 371 73
77 380 46
77 425 35
77 446 100
77 489 57
78 107 29
78 140 11
78 149 28
78 227 74
78 285 74
78 332 96
78 395 19
78 464 31
78 465 6
79 120 67
79 124 20
79 147 68
79 245 5
79 274 39
79 288 62
79 323 44
80 173 35
80 237 40
81 215 25
81 239 37
81 242 51
81 381 71
81 466 31
81 482 72
81 489 45
82 220 94
82 222 16
82 283 63
82 452 67
83 142 37
83 192 23
83 282 88
83 341 14
84 139 71
84 250 60
84 258 86
84 260 67
84 405 90
84 421 43
84 438 2
85 159 10
85 166 21
85 189 11
85 197 98
85 238 3
85 354 59
85 364 99
86 117 86
86 338 12
86 434 22
86 464 5
86 467 94
87 190 32
88 159 97
88 233 57
88 281 60
88 471 72
89 117 71
89 139 49
89 384 54
89 435 64
91 410 66
92 97 79
92 135 31
92 274 2
92 443 86
93 150 81
93 198 8
93 297 31
93 352 56
93 481 88
94 99 41
94 137 22
94 147 60
94 163 12
94 268 90
94 302 95
94 309 58
94 380 11
94 458 29
94 465 89
95 310 75
95 414 2
96 106 61
96 281 53
96 341 93
96 492 61
97 198 49
97 231 51
97 402 99
98 102 48
98 444 40
99 145 81
99 341 85
99 440 29
101 196 7
101 392 49
102 484 2
103 141 3
103 356 17
103 463 62
103 477 41
103 493 91
104 115 45
104 188 80
104 200 35
104 235 96
104 326 80
104 330 64
104 380 77
105 323 50
105 350 54
105 387 53
105 428 82
106 250 76
106 269 100
106 442 83
107 113 37
107 165 83
107 217 98
107 399 16
108 152 1
108 159 53
108 249 53
108 291 52
108 332 79
109 375 46
109 454 79
110 139 86
110 154 78
110 214 79
110 386 75
111 174 40
111 192 84
