500 1000
0 1 13
0 499 89
0 2 63
0 498 46
1 2 57
1 499 62
1 38 87
1 106 34
2 3 32
2 4 23
3 4 88
3 5 54
4 5 70
4 6 10
5 6 45
5 7 76
6 7 16
6 194 5
7 8 32
7 9 28
8 9 58
8 10 68
9 10 59
9 11 45
9 376 93
9 446 41
10 11 71
10 12 81
11 12 6
11 13 71
12 13 38
12 14 68
13 15 90
13 164 27
14 15 20
14 16 27
14 476 53
15 16 87
15 17 65
16 18 70
16 165 94
17 18 100
17 19 11
17 56 52
18 19 80
18 20 51
18 394 33
19 20 90
19 21 49
19 167 16
20 21 77
20 72 67
20 427 90
21 22 83
21 23 29
22 24 9
22 219 20
23 24 76
23 25 59
24 25 65
24 26 55
25 26 23
25 27 20
26 27 34
26 214 10
26 47 98
26 144 88
27 28 87
27 186 88
28 29 55
28 266 10
28 251 19
29 30 79
29 31 54
30 31 35
30 405 33
31 33 48
31 45 32
31 318 51
32 33 4
32 34 29
33 34 19
33 35 21
34 35 93
34 36 40
35 36 46
35 37 31
35 196 39
35 418 59
36 37 65
36 38 25
36 252 3
37 38 52
37 337 71
37 83 74
38 39 11
38 337 40
38 317 12
39 40 75
39 41 69
39 88 58
40 41 49
40 42 34
40 44 19
41 42 23
41 43 88
42 43 62
42 44 5
42 162 74
43 44 87
43 45 27
43 92 77
44 45 64
45 46 55
45 47 5
46 47 24
46 48 8
46 386 33
47 395 8
47 69 39
47 272 37
48 49 92
48 50 13
49 50 47
49 73 14
49 246 99
50 51 100
50 52 8
50 383 45
51 52 64
51 53 70
52 53 34
52 54 26
52 408 19
53 54 36
53 55 28
54 55 50
54 56 32
54 349 49
55 56 11
55 57 29
55 131 96
56 57 64
56 486 1
57 58 88
57 59 2
57 75 17
58 60 74
58 412 76
58 414 66
59 60 56
59 424 1
60 62 73
60 473 44
61 62 27
61 444 17
62 64 1
62 226 52
63 64 64
63 65 9
64 65 5
64 241 16
65 66 40
65 67 23
65 493 87
66 68 95
66 264 94
67 68 65
67 303 10
68 69 19
68 70 29
69 70 60
70 71 7
70 72 67
70 460 34
71 72 71
71 409 74
72 73 27
72 74 59
73 75 15
73 474 57
73 119 98
73 279 39
74 75 59
74 76 90
74 84 95
75 77 13
76 77 6
76 78 88
77 78 2
77 79 10
78 79 11
78 80 36
79 80 99
79 81 73
80 81 54
80 82 74
81 82 84
81 83 37
81 134 94
82 83 12
82 84 70
83 84 57
83 132 85
84 86 94
85 86 46
85 348 75
86 87 17
86 88 33
87 88 21
87 255 70
88 136 51
89 90 58
89 91 14
90 91 53
90 92 80
91 92 18
91 93 69
92 93 78
93 94 55
93 95 71
94 95 26
94 96 78
95 97 66
95 212 34
95 399 97
96 98 94
96 453 90
97 98 59
97 99 21
98 99 30
98 100 77
98 141 79
98 305 90
99 100 32
99 101 88
99 265 5
100 101 29
100 102 28
101 102 11
101 103 70
102 104 63
102 451 20
103 104 22
103 105 67
103 317 59
104 105 54
104 106 10
105 106 99
105 107 66
106 107 26
107 108 58
107 109 20
108 109 45
108 110 89
109 110 96
109 111 77
110 112 76
110 211 91
111 112 90
111 113 95
111 126 88
112 113 87
112 114 87
112 284 62
112 441 4
113 114 62
113 115 91
113 364 73
113 380 81
114 115 6
114 374 68
115 116 38
115 117 46
115 290 88
115 404 79
116 117 94
116 118 49
116 198 34
116 371 37
117 118 2
117 119 87
118 119 72
118 120 76
119 120 85
120 121 36
120 122 65
120 494 43
120 287 12
121 123 74
121 450 29
122 123 93
122 124 66
123 124 75
123 125 58
124 125 45
124 153 73
125 126 73
125 306 15
126 128 46
126 224 64
127 128 14
127 129 21
128 129 90
128 324 41
128 183 76
129 130 8
129 131 13
130 131 70
130 132 63
131 403 77
132 134 14
133 134 54
133 135 59
134 284 52
135 137 63
135 259 71
136 137 49
136 138 49
136 374 48
137 139 30
137 201 29
138 139 36
138 140 2
139 140 74
139 141 86
140 141 10
140 152 83
141 390 24
142 144 71
142 488 32
142 162 23
142 430 20
143 144 95
143 145 98
144 145 99
144 203 96
145 146 50
145 147 22
146 147 61
146 148 46
146 336 58
147 149 34
147 495 52
148 149 48
148 150 95
149 150 92
149 151 12
149 239 81
150 152 39
150 307 19
151 152 80
151 153 11
152 153 43
152 154 77
153 154 71
153 155 10
154 155 78
154 156 43
155 156 31
155 157 17
155 284 14
156 157 97
156 158 10
157 158 70
157 159 90
158 159 65
158 160 89
158 168 41
158 421 18
159 160 94
159 161 81
160 161 16
160 251 52
161 162 68
161 163 39
163 164 6
163 165 98
163 406 89
164 165 6
164 166 7
165 456 45
165 425 88
166 167 29
166 168 84
167 168 29
168 170 60
169 170 61
169 171 44
170 171 69
170 172 22
171 172 90
171 173 33
172 173 14
172 174 65
173 174 17
173 175 89
174 175 63
174 372 12
174 420 8
175 176 51
175 198 49
175 349 57
176 177 3
176 385 30
177 178 2
177 179 2
178 179 39
178 180 84
179 180 95
179 435 77
179 449 90
180 181 78
180 182 30
181 182 89
181 183 21
181 330 26
182 183 100
182 184 81
183 312 82
184 185 52
184 186 100
185 186 16
185 187 24
186 187 96
186 188 27
186 461 32
187 188 34
187 189 92
188 189 74
188 190 87
188 466 96
189 190 78
189 306 25
189 241 60
190 192 44
190 305 85
191 192 8
191 193 57
192 193 88
192 415 5
193 194 56
193 195 49
194 196 52
194 276 20
195 196 65
195 197 61
196 197 60
197 198 68
197 199 23
198 199 75
199 200 51
199 201 24
200 201 74
200 202 90
201 202 23
201 292 47
202 203 39
202 307 1
203 204 12
204 205 87
204 206 28
205 206 63
205 207 15
206 207 29
206 208 45
207 208 18
207 209 10
208 210 6
208 309 47
209 210 95
209 211 5
209 466 66
210 211 9
210 212 2
211 213 4
211 485 43
212 213 3
212 214 79
213 214 79
213 215 3
213 254 36
214 215 86
214 216 65
214 461 13
215 216 7
215 217 18
215 408 5
216 217 32
216 218 46
216 477 36
217 218 21
217 219 44
218 219 41
218 220 3
219 220 39
219 221 100
219 395 51
220 221 24
220 222 75
221 222 41
221 223 11
222 443 90
222 319 100
223 224 78
223 225 66
223 464 17
224 225 71
225 227 87
225 292 93
226 227 33
226 228 94
227 229 5
227 444 14
227 339 25
228 229 99
228 230 68
229 230 30
229 231 98
230 231 65
230 432 27
230 375 10
231 232 6
231 233 88
232 234 81
232 244 87
232 365 10
233 234 8
233 235 21
234 235 59
234 236 40
235 236 33
235 237 4
236 237 17
236 238 78
237 238 21
237 239 79
238 239 58
238 240 78
238 433 23
239 240 83
240 241 73
240 242 32
241 242 88
242 243 37
242 244 82
243 244 10
243 245 22
244 245 50
244 246 68
245 246 87
245 247 22
245 291 93
245 445 35
246 247 33
247 248 93
247 249 3
248 250 38
248 449 63
249 250 22
249 251 62
250 252 16
250 368 40
250 265 96
251 252 16
252 340 40
253 254 5
253 255 19
254 256 25
255 256 92
255 257 73
256 257 54
256 258 92
256 341 4
257 258 77
257 259 23
258 259 48
258 481 80
259 261 100
259 418 55
260 261 21
260 262 7
261 262 77
261 325 43
262 263 14
262 264 24
263 264 64
263 265 68
264 265 2
264 266 22
265 276 83
265 457 86
265 301 49
265 487 63
266 267 1
266 268 28
266 373 78
267 268 51
267 269 21
268 269 94
268 270 17
269 270 36
269 306 1
270 271 32
270 272 10
271 272 83
271 273 17
272 273 60
272 448 34
273 274 13
273 275 70
273 417 28
274 276 33
274 362 66
274 280 65
275 276 31
275 277 47
276 278 55
276 362 46
276 426 51
277 278 70
277 279 3
278 279 82
278 280 55
279 280 54
280 282 11
281 282 56
281 283 56
282 283 61
282 284 10
283 284 16
283 475 56
285 286 31
285 287 7
286 287 89
286 288 6
287 288 37
288 289 17
288 290 41
289 290 73
289 291 9
290 292 49
291 293 26
292 293 93
292 294 54
293 294 40
293 474 23
293 403 41
294 295 31
294 296 20
295 296 74
295 297 83
296 297 100
296 298 48
297 298 25
297 299 89
298 299 78
298 300 5
299 301 5
299 378 37
300 301 81
300 302 80
301 302 73
302 303 12
302 304 66
303 304 74
303 305 61
303 338 39
304 305 45
304 306 99
304 479 84
305 430 81
306 307 29
306 308 47
307 308 44
307 309 94
307 321 85
307 397 31
308 309 93
308 310 43
309 310 38
309 311 72
310 311 35
310 312 41
311 312 100
311 313 5
312 313 90
312 314 83
312 494 44
313 314 1
313 315 59
314 315 2
314 316 59
315 316 6
315 317 45
316 317 49
316 318 18
316 336 79
317 318 38
318 320 10
319 320 45
319 321 10
320 321 68
320 322 22
321 323 17
322 324 62
322 430 87
323 324 5
323 325 93
324 325 40
324 326 54
325 326 30
325 327 68
